A	B	C	D	E
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 53.199099 	 22.539389
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 43.139338 	 26.504615
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 96.391896 	 6.687079
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 76.338932 	 24.021389
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 108.748509 	 37.276379
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 28.956951 	 6.431968
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 22.569522 	 3.611969
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 38.076668 	 9.790458
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 28.895865 	 6.746079
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 30.329196 	 2.113000
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 44.516556 	 15.094457
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 30.242152 	 6.701076
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 50.135547 	 27.742213
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 35.463522 	 11.995456
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 42.670981 	 7.238968
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 50.453226 	 22.681389
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 74.235212 	 23.967389
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 100.581688 	 22.129198
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 104.260236 	 6.841968
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 97.055316 	 37.405379
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 111.981589 	 27.092615
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 36.888618 	 9.913968
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 44.151665 	 7.582458
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 30.389115 	 7.877078
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 51.261660 	 17.417457
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 50.069687 	 9.174000
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 67.363525 	 7.786513
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 85.430191 	 29.576213
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 47.008461 	 29.055615
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 78.826220 	 8.055077
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 62.211689 	 25.660389
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 72.057929 	 9.973968
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 75.469222 	 31.445389
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 87.488272 	 7.987889
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 109.323144 	 32.948987
