A	B	C	D	E
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 103.588931 	 27.871196
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 87.038494 	 39.978379
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 98.566738 	 29.055615
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 129.637281 	 8.055077
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 43.891142 	 10.039968
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 48.165678 	 17.714457
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 29.206656 	 9.174000
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 49.677759 	 7.402458
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 143.693107 	 7.987889
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 61.927800 	 8.739077
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 62.075143 	 8.546076
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 84.140336 	 29.897213
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 48.959689 	 25.569389
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 84.959740 	 15.072513
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 89.959859 	 33.288986
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 70.373614 	 31.339389
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 71.481855 	 10.396968
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 106.868391 	 39.994988
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 32.389550 	 5.900968
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 105.649544 	 39.989379
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 117.126458 	 15.185456
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 27.741096 	 4.015969
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 40.822454 	 9.941458
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 115.189368 	 29.574615
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 44.028384 	 14.913457
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 54.104512 	 27.551213
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 38.346151 	 11.785456
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 48.838169 	 22.539389
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 49.040312 	 6.870968
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 63.066933 	 6.593078
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 79.732224 	 1.503000
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 77.611080 	 8.904998
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 85.959668 	 6.707968
