A	B	C	D	E
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 93.634175 	 29.055615
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 105.877568 	 15.579456
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 43.909892 	 10.039968
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 34.349223 	 8.739077
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 50.478846 	 7.402458
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 56.190746 	 8.546076
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 78.868121 	 17.714457
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 50.840820 	 10.396968
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 73.973949 	 8.904998
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 96.129488 	 29.897213
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 63.420451 	 39.989379
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 89.084867 	 31.339389
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 112.633592 	 33.288986
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 113.520141 	 15.072513
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 21.546018 	 5.900968
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 88.024191 	 25.569389
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 103.932017 	 15.185456
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 95.622558 	 29.574615
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 29.679452 	 6.687079
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 124.966348 	 39.994988
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 42.942623 	 9.941458
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 23.947631 	 6.870968
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 46.172267 	 3.611969
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 43.430284 	 11.785456
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 75.435529 	 14.913457
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 64.498475 	 6.593078
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 86.708174 	 27.551213
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 86.231131 	 1.503000
